I
1100 Version - data cycle 2306, build 20240704, metadata AwyXP1100. Copyright (c) 2024 Navigraph, Datasource Jeppesen

ABDAN UT 11 TENGA UT 11 N 2  40 490 A118
ABDAN UT 11 TITIK UT 11 N 1  40 490 B114
ABDAN UT 11 TITIK UT 11 N 2  40 490 B114
ABDAP ED 11 TIGPI ED 11 F 1  50 245 Z656
ABDAR UK 11 NIKAD UK 11 F 2 275 660 M853
ABDAR UK 11 RUBES UK 11 F 1 115 275 L68
ABDEK UN 11 KENGA UN 11 N 1 165 540 A300
ABDEK UN 11 KENGA UN 11 N 2 165 540 A300
ABDEK UN 11 KUGUP UN 11 N 1 165 540 A300
ABDEK UN 11 KUGUP UN 11 N 2 165 540 A300
ABDER UH 11 LUNAD UH 11 N 1  45 405 W75
ABDER UH 11 LUNAD UH 11 N 2  45 405 W75
ABDER UH 11 REKMA UH 11 N 1  45 405 W75
ABDER UH 11 REKMA UH 11 N 2  45 405 W75
ABDET UE 11 AKEBA UE 11 N 1  55 540 G7
ABDET UE 11 AKEBA UE 11 N 2  55 540 G7
ABDET UE 11 GIKSI UE 11 N 1  55 540 G7
ABDET UE 11 GIKSI UE 11 N 2  55 540 G7
ABDID UL 11 BAGUP UL 11 N 2 265 540 T822
ABDID UL 11 LIKPA UL 11 N 2 265 540 T822
ABDIG EN 11 TUTOP EN 11 N 1  75 660 Z105
ABDIG EN 11 TUTOP EN 11 N 2  75 660 Z105
ABDIL LF 11 MEDOK LF 11 N 1  86 195 R161
ABDIL LF 11 TUPOX LF 11 F 1 125 195 T43
ABDIN DT 11 BASMO LM 11 N 1   0 245 M980-R783
ABDIN DT 11 BASMO LM 11 N 2 245 600 UM980-UR783
ABDIN DT 11 SORAB DT 11 F 1 155 245 M735
ABDIN DT 11 SORAB DT 11 F 2 245 460 UM735
ABDIR US 11 GOKLI US 11 F 1 175 540 N992
ABDIR US 11 GOKLI US 11 F 2 175 540 N992
ABDIR US 11 ORTOD US 11 F 1  65 540 P983
ABDIR US 11 ORTOD US 11 F 2  65 540 P983
ABDIS UW 11 IDLET UW 11 F 1  75 520 T690
ABDIS UW 11 IDLET UW 11 F 2  75 520 T690
ABDIS UW 11 TIRET UW 11 F 1  75 520 T759
ABDIS UW 11 TIRET UW 11 F 2  75 520 T759
ABDIS UW 11 VALIK UL 11 F 1  75 420 T464-T521
ABDIS UW 11 VALIK UL 11 F 2  75 420 T464-T521
ABDIT DA 11 BASID DA 11 N 2 310 455 UM608
ABDIT DA 11 RIAME DA 11 N 2 245 455 UR990
ABDIT DA 11 TISIR DA 11 N 2 310 455 UM608
  ABD OI  3 BOPIS OI 11 N 1  40 600 W31
  ABD OI  3 BOPIS OI 11 N 2  40 600 W31
  ABD OI  3 DEMPO OI 11 N 1  50 600 G665
  ABD OI  3 DEMPO OI 11 N 2  50 600 G665
  ABD OI  3 GABSU OI 11 N 1  50 600 G667
  ABD OI  3 GABSU OI 11 N 2  50 600 G667
  ABD OI  3 IBSAL OI 11 N 1  30 600 G55
  ABD OI  3 IBSAL OI 11 N 2  30 600 G55
ABDOK UT 11 RODKI UT 11 N 1 150 510 A126
ABDOK UT 11 RODKI UT 11 N 2 150 510 A126
